method,precision,recall,map50,map50_95,f1-score
original,0.880763910568814,0.5072888422085902,0.6528063831210946,0.5493704362819181,0.6437815589742735
canny,0.8734573862130416,0.4530638455490246,0.5980720593127744,0.55634141816876314,0.5966458048655777
dog,0.9421803023509395,0.4647754550747334,0.6464207338266356,0.510401356531562,0.6224815033958021
gaussian,0.8570680884976785,0.580694262090815,0.7148614261223583,0.52066078203171,0.6923177183616935
gaussian_canny,0.848516682076113,0.6611027355523507,0.7834377522593968,0.6090747260381981,0.7431758250376036
gray,0.8266198497475304,0.5149724192277384,0.6390941573260833,0.5026668508954752,0.6345983296879564
laplacian,0.823517949065277,0.5098058026402309,0.6335159603570744,0.45689333430096174,0.6297553967626175
log,0.9471088416953911,0.5488349873015405,0.678163039903006,0.5157450877803994,0.694954063852221
median,0.7946826617445718,0.5481080225814886,0.6926835034176343,0.4891622748430022,0.6487557934605804
roberts,0.9086477272538698,0.5789058145991396,0.6477772297304203,0.5226203958253837,0.7072298029143947
sobel,0.9069204869379771,0.5613298137825172,0.6405701099034444,0.5065780566092031,0.6934528275897051
curvature_resault_data,0.8112543186530471,0.5554216935877503,0.6143497840846729,0.505356175623341,0.6593924439511417
