epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5557,1.19476,3.40338,1.06357,0.00996,1,0.22462,0.13886,0.80373,3.44396,0.87787,0.00015719,0.00015719,0.00015719
2,40.825,0.86706,1.97427,0.96551,0.37007,0.41334,0.47239,0.33424,0.68702,2.96107,0.83261,0.000324022,0.000324022,0.000324022
3,53.3943,0.70694,1.0276,0.90729,1,0.06428,0.82873,0.70126,0.58381,2.81211,0.83676,0.000486003,0.000486003,0.000486003
4,78.4973,0.67714,0.81582,0.90651,1,0.1639,0.90103,0.76569,0.56432,2.53054,0.85325,0.000643134,0.000643134,0.000643134
5,103.671,0.66268,0.75818,0.91562,1,0.39293,0.89434,0.75918,0.56109,2.24932,0.86516,0.000795414,0.000795414,0.000795414
6,128.438,0.60187,0.74372,0.93031,1,0.6388,0.98677,0.87235,0.49914,1.70529,0.85769,0.000942844,0.000942844,0.000942844
7,153.245,0.59742,0.66595,0.91015,0.99478,0.94398,0.995,0.87101,0.55486,1.33618,0.89279,0.00108542,0.00108542,0.00108542
8,178.004,0.603,0.6621,0.92488,0.98218,0.96325,0.995,0.89512,0.4761,1.04337,0.86383,0.00122315,0.00122315,0.00122315
9,202.689,0.54311,0.62403,0.89499,0.98478,0.99755,0.99431,0.91651,0.44685,0.64648,0.863,0.00126732,0.00126732,0.00126732
10,227.311,0.55766,0.59974,0.90615,0.97915,1,0.99194,0.88448,0.50718,0.7169,0.87224,0.00124711,0.00124711,0.00124711
11,252.123,0.54142,0.60657,0.90747,0.98371,1,0.99417,0.90039,0.45723,0.52757,0.85155,0.0012269,0.0012269,0.0012269
12,277.206,0.53561,0.56727,0.89994,0.99006,0.99908,0.99486,0.90546,0.42417,0.5125,0.84458,0.00120669,0.00120669,0.00120669
13,302.069,0.50257,0.54809,0.88271,0.99766,0.99952,0.995,0.90527,0.45079,0.47523,0.85059,0.00118648,0.00118648,0.00118648
14,326.888,0.47216,0.52641,0.86976,0.99716,0.99482,0.995,0.93322,0.36374,0.46325,0.82167,0.00116627,0.00116627,0.00116627
15,351.638,0.48484,0.5185,0.88573,0.99683,0.99808,0.995,0.90136,0.43644,0.4846,0.84285,0.00114606,0.00114606,0.00114606
16,376.277,0.50208,0.56587,0.88529,0.9961,0.99291,0.99486,0.92348,0.38523,0.47302,0.82844,0.00112585,0.00112585,0.00112585
17,401.091,0.51256,0.53087,0.90285,0.99698,0.99489,0.995,0.92502,0.37734,0.45885,0.8215,0.00110564,0.00110564,0.00110564
18,425.75,0.48233,0.52449,0.89878,0.9937,0.99291,0.99486,0.92931,0.36716,0.42184,0.82795,0.00108543,0.00108543,0.00108543
19,450.526,0.47462,0.50865,0.88464,0.99405,0.99274,0.995,0.93457,0.38111,0.43476,0.81642,0.00106522,0.00106522,0.00106522
20,478.076,0.45817,0.48382,0.86994,0.99038,0.99952,0.99194,0.92751,0.3557,0.43739,0.82422,0.00104501,0.00104501,0.00104501
21,502.991,0.4444,0.45755,0.86988,0.99487,0.99393,0.995,0.93557,0.34338,0.41574,0.81645,0.0010248,0.0010248,0.0010248
22,527.963,0.43464,0.4634,0.8564,0.99136,0.99244,0.995,0.95305,0.33189,0.43628,0.80822,0.00100459,0.00100459,0.00100459
23,552.562,0.45001,0.4746,0.86194,0.99236,0.99277,0.995,0.94964,0.34273,0.40186,0.81452,0.000984377,0.000984377,0.000984377
24,577.475,0.4534,0.45631,0.8723,0.99591,1,0.995,0.94734,0.32407,0.374,0.8112,0.000964167,0.000964167,0.000964167
25,602.293,0.44523,0.43896,0.88869,0.99744,1,0.995,0.91666,0.38776,0.42026,0.82203,0.000943957,0.000943957,0.000943957
26,627.089,0.45006,0.46546,0.87041,0.99561,1,0.995,0.95934,0.28392,0.38006,0.80387,0.000923746,0.000923746,0.000923746
27,651.744,0.42302,0.44503,0.86931,0.99532,1,0.995,0.92213,0.38731,0.38481,0.82639,0.000903536,0.000903536,0.000903536
28,676.538,0.44404,0.46982,0.89419,0.99073,1,0.995,0.95125,0.31644,0.36668,0.80782,0.000883326,0.000883326,0.000883326
29,701.506,0.42042,0.44056,0.86975,0.9909,1,0.995,0.93642,0.33387,0.37774,0.82465,0.000863116,0.000863116,0.000863116
30,726.299,0.43664,0.42909,0.86337,0.99624,1,0.995,0.91499,0.42798,0.41885,0.83669,0.000842906,0.000842906,0.000842906
31,751.248,0.43047,0.42638,0.85468,0.99763,1,0.995,0.96135,0.29669,0.357,0.80816,0.000822696,0.000822696,0.000822696
32,775.909,0.42687,0.43164,0.86797,0.99856,0.99951,0.995,0.92249,0.38964,0.37312,0.82367,0.000802486,0.000802486,0.000802486
33,800.742,0.42944,0.4284,0.87533,0.99616,1,0.995,0.97375,0.26873,0.32866,0.80425,0.000782275,0.000782275,0.000782275
34,825.533,0.42907,0.41046,0.87092,0.99741,0.99983,0.995,0.94332,0.33584,0.34557,0.81301,0.000762065,0.000762065,0.000762065
35,850.37,0.39653,0.40068,0.86706,0.99707,0.99715,0.995,0.97037,0.24459,0.31725,0.79744,0.000741855,0.000741855,0.000741855
36,858.314,0.39456,0.39828,0.87187,0.99711,0.99912,0.995,0.94038,0.35946,0.3362,0.81709,0.000721645,0.000721645,0.000721645
37,864.5,0.4222,0.40088,0.86536,0.99735,0.99852,0.995,0.96316,0.28455,0.32649,0.80366,0.000701435,0.000701435,0.000701435
38,870.792,0.39455,0.39341,0.87084,0.99746,0.9984,0.995,0.96218,0.28584,0.33142,0.80173,0.000681225,0.000681225,0.000681225
39,877.135,0.41792,0.3893,0.86475,0.99735,1,0.995,0.94796,0.34205,0.33852,0.81308,0.000661015,0.000661015,0.000661015
40,896.184,0.38835,0.38647,0.85314,0.9979,1,0.995,0.9738,0.25945,0.29553,0.80059,0.000640804,0.000640804,0.000640804
41,920.968,0.37286,0.37506,0.85843,0.99723,1,0.995,0.95734,0.31789,0.31567,0.80641,0.000620594,0.000620594,0.000620594
42,946.651,0.37364,0.37314,0.84724,0.9961,1,0.995,0.95948,0.30466,0.31345,0.80417,0.000600384,0.000600384,0.000600384
43,971.905,0.39098,0.39359,0.87323,0.99653,1,0.995,0.97153,0.25469,0.28543,0.79818,0.000580174,0.000580174,0.000580174
44,996.949,0.36522,0.37228,0.86998,0.99779,1,0.995,0.96236,0.31021,0.30194,0.80672,0.000559964,0.000559964,0.000559964
45,1021.64,0.3712,0.37217,0.84993,0.99788,1,0.995,0.95401,0.34723,0.31101,0.81328,0.000539754,0.000539754,0.000539754
46,1046.56,0.37568,0.37238,0.84806,0.99793,1,0.995,0.97275,0.25452,0.29265,0.79651,0.000519544,0.000519544,0.000519544
47,1063.02,0.36293,0.36099,0.84633,0.99806,1,0.995,0.96916,0.28162,0.28613,0.79928,0.000499333,0.000499333,0.000499333
48,1090.59,0.38588,0.35709,0.85432,0.99806,1,0.995,0.95989,0.30144,0.28859,0.80592,0.000479123,0.000479123,0.000479123
49,1111.7,0.38807,0.36422,0.86753,0.99825,1,0.995,0.97859,0.24083,0.2788,0.7922,0.000458913,0.000458913,0.000458913
50,1118.58,0.3614,0.35853,0.85518,0.99828,1,0.995,0.96059,0.31338,0.29327,0.80029,0.000438703,0.000438703,0.000438703
51,1125.25,0.33266,0.34555,0.82935,0.99803,1,0.995,0.96565,0.30247,0.28447,0.80155,0.000418493,0.000418493,0.000418493
52,1131.87,0.37054,0.35034,0.84832,0.9975,1,0.995,0.97738,0.23964,0.26683,0.7898,0.000398283,0.000398283,0.000398283
53,1138.67,0.35974,0.33826,0.84338,0.99789,1,0.995,0.97259,0.24612,0.25904,0.79108,0.000378073,0.000378073,0.000378073
54,1145.45,0.36136,0.35537,0.84617,0.99767,1,0.995,0.95923,0.31618,0.27231,0.80492,0.000357862,0.000357862,0.000357862
55,1152.18,0.35099,0.33677,0.86105,0.9975,1,0.995,0.96986,0.27255,0.26285,0.79615,0.000337652,0.000337652,0.000337652
