epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.09881,2.03712,3.6575,1.51751,0.01014,1,0.03765,0.02296,0.93359,3.52735,0.95414,0.00015719,0.00015719,0.00015719
2,13.7495,1.18433,2.68436,1.06237,0.01485,1,0.24272,0.17515,0.79776,3.25352,0.88503,0.000324022,0.000324022,0.000324022
3,20.2357,1.03006,1.75152,1.03182,0.03373,1,0.49632,0.37589,0.79007,3.01692,0.89156,0.000486003,0.000486003,0.000486003
4,28.5257,0.8871,1.23998,0.9873,0.8837,0.21073,0.6336,0.50139,0.70845,2.63822,0.87473,0.000643134,0.000643134,0.000643134
5,53.1721,0.8682,1.04537,0.99011,0.66438,0.32793,0.73537,0.60803,0.67392,2.25037,0.87757,0.000795414,0.000795414,0.000795414
6,72.671,0.84481,0.99497,1.01202,0.83415,0.64616,0.84432,0.66258,0.82936,1.80839,0.93337,0.000942844,0.000942844,0.000942844
7,91.175,0.8366,1.08637,1.00723,0.94785,0.6363,0.87574,0.73139,0.70561,1.80239,0.88623,0.00108542,0.00108542,0.00108542
8,112.389,0.76759,0.90373,0.96312,0.77256,0.82637,0.7808,0.64849,0.66724,1.44914,0.88228,0.00122315,0.00122315,0.00122315
9,120.213,0.73362,0.86631,0.94458,0.85177,0.78454,0.87663,0.7185,0.72129,1.49183,0.88755,0.00126732,0.00126732,0.00126732
10,126.761,0.78618,0.84328,0.94118,0.96472,0.86675,0.96896,0.79924,0.68696,0.84895,0.87252,0.00124711,0.00124711,0.00124711
11,133.281,0.73026,0.80367,0.9453,0.96571,0.959,0.99023,0.83599,0.64543,0.73141,0.86966,0.0012269,0.0012269,0.0012269
12,139.814,0.7679,0.83116,0.96788,0.98948,0.96367,0.99299,0.85056,0.6028,0.73277,0.86525,0.00120669,0.00120669,0.00120669
13,157.405,0.66635,0.75739,0.92207,0.98279,0.95624,0.99292,0.85614,0.59789,0.64603,0.86259,0.00118648,0.00118648,0.00118648
14,182.381,0.69933,0.78934,0.93857,0.98345,0.97039,0.9929,0.86064,0.59311,0.63388,0.86109,0.00116627,0.00116627,0.00116627
15,207.026,0.64801,0.74598,0.92181,0.95063,0.9202,0.98064,0.85837,0.57815,0.73024,0.86897,0.00114606,0.00114606,0.00114606
16,228.752,0.66604,0.77411,0.93934,0.95105,0.95705,0.98659,0.86181,0.54199,0.83779,0.85339,0.00112585,0.00112585,0.00112585
17,250.073,0.69839,0.77468,0.94525,0.98491,0.98183,0.99334,0.85388,0.58368,0.53045,0.8553,0.00110564,0.00110564,0.00110564
18,274.519,0.62885,0.66716,0.9057,0.95507,1,0.99162,0.87164,0.5525,0.56698,0.85204,0.00108543,0.00108543,0.00108543
19,299.044,0.64051,0.71189,0.92143,0.98179,0.97759,0.99349,0.87378,0.52428,0.55265,0.8433,0.00106522,0.00106522,0.00106522
20,326.261,0.62958,0.7201,0.91999,0.99683,0.98755,0.9946,0.88177,0.50032,0.50158,0.83711,0.00104501,0.00104501,0.00104501
21,351.492,0.62504,0.69127,0.91748,0.98048,0.99887,0.99459,0.89434,0.47721,0.47101,0.83051,0.0010248,0.0010248,0.0010248
22,376.057,0.58564,0.63185,0.91329,0.98637,0.99763,0.995,0.87687,0.53007,0.45763,0.84001,0.00100459,0.00100459,0.00100459
23,400.938,0.56926,0.64452,0.8949,0.99352,1,0.995,0.89907,0.466,0.43624,0.8271,0.000984377,0.000984377,0.000984377
24,425.717,0.64926,0.72161,0.93038,0.99595,0.99074,0.99465,0.8734,0.53118,0.47741,0.83643,0.000964167,0.000964167,0.000964167
25,444.65,0.59343,0.63256,0.89977,0.98719,0.99027,0.99482,0.87466,0.48697,0.46836,0.82721,0.000943957,0.000943957,0.000943957
26,469.998,0.56626,0.60093,0.8899,0.9939,0.9799,0.99043,0.87313,0.52218,0.63737,0.83435,0.000923746,0.000923746,0.000923746
27,494.847,0.54894,0.58771,0.89356,0.99273,0.98209,0.99355,0.88747,0.52174,0.52857,0.83264,0.000903536,0.000903536,0.000903536
28,519.587,0.58276,0.59718,0.91051,0.99012,0.99857,0.995,0.90198,0.43683,0.42485,0.81258,0.000883326,0.000883326,0.000883326
29,544.649,0.54022,0.58167,0.88612,0.99557,0.9888,0.9946,0.88904,0.45239,0.44283,0.81635,0.000863116,0.000863116,0.000863116
30,569.184,0.56181,0.60305,0.89708,0.99528,0.99291,0.9946,0.89765,0.45472,0.41252,0.81806,0.000842906,0.000842906,0.000842906
31,593.823,0.55895,0.59491,0.89897,0.99216,0.99179,0.99486,0.89986,0.4555,0.40327,0.81745,0.000822696,0.000822696,0.000822696
32,618.242,0.57359,0.60726,0.91202,0.99784,0.99538,0.995,0.89143,0.48669,0.40044,0.82299,0.000802486,0.000802486,0.000802486
33,642.767,0.53827,0.54401,0.88789,0.99002,0.98534,0.993,0.89548,0.45789,0.40066,0.81174,0.000782275,0.000782275,0.000782275
34,667.376,0.56694,0.57369,0.8981,0.99377,0.98365,0.99468,0.90876,0.46352,0.39823,0.81216,0.000762065,0.000762065,0.000762065
35,691.726,0.56292,0.5674,0.90652,0.99756,0.99961,0.995,0.90787,0.44445,0.39692,0.81421,0.000741855,0.000741855,0.000741855
36,716.295,0.56298,0.60361,0.90813,0.99751,0.99291,0.99486,0.92046,0.41228,0.36771,0.80871,0.000721645,0.000721645,0.000721645
37,740.902,0.51992,0.54733,0.8779,0.99533,0.99291,0.99473,0.90331,0.43375,0.38455,0.81002,0.000701435,0.000701435,0.000701435
