epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1204,1.18024,3.43136,1.05897,0.00957,0.99291,0.11356,0.08086,0.63276,3.49496,0.85731,0.00015719,0.00015719,0.00015719
2,35.2207,0.79751,1.92483,0.9466,0.5199,0.5764,0.5127,0.40632,0.56301,2.96893,0.82461,0.000324022,0.000324022,0.000324022
3,41.8031,0.67466,0.97389,0.90698,1,0.22728,0.9051,0.75702,0.60002,2.58229,0.83933,0.000486003,0.000486003,0.000486003
4,48.4236,0.62548,0.76443,0.89556,1,0.54568,0.97357,0.84745,0.53496,2.12947,0.85454,0.000643134,0.000643134,0.000643134
5,54.8881,0.6041,0.68633,0.90834,1,0.54665,0.9819,0.87174,0.51341,1.95233,0.86989,0.000795414,0.000795414,0.000795414
6,61.4412,0.58145,0.70753,0.9325,0.9971,0.67741,0.84548,0.77989,0.43264,1.84354,0.82653,0.000942844,0.000942844,0.000942844
7,74.6879,0.54307,0.64223,0.89326,0.99676,0.83817,0.96021,0.85118,0.49401,1.62342,0.85998,0.00108542,0.00108542,0.00108542
8,99.8573,0.56401,0.64002,0.91741,0.97049,0.87147,0.98004,0.8701,0.49491,1.18037,0.86127,0.00122315,0.00122315,0.00122315
9,125.127,0.50219,0.60259,0.89322,0.98815,0.97448,0.99167,0.91161,0.40263,0.71034,0.83568,0.00126732,0.00126732,0.00126732
10,150.792,0.51724,0.57846,0.89479,0.96539,0.96667,0.98669,0.88824,0.44846,0.75069,0.8371,0.00124711,0.00124711,0.00124711
11,176.446,0.48363,0.59226,0.89684,0.98173,0.99936,0.995,0.92292,0.39161,0.53439,0.8323,0.0012269,0.0012269,0.0012269
12,201.765,0.47663,0.53961,0.87951,0.99739,1,0.995,0.91971,0.41029,0.51624,0.83133,0.00120669,0.00120669,0.00120669
13,227.463,0.47303,0.53976,0.87584,0.99671,1,0.995,0.92535,0.39856,0.48185,0.8227,0.00118648,0.00118648,0.00118648
14,252.96,0.45567,0.53105,0.86611,0.99771,0.99796,0.995,0.931,0.37173,0.48002,0.82174,0.00116627,0.00116627,0.00116627
15,278.457,0.47392,0.51729,0.88424,0.9973,1,0.995,0.92434,0.39358,0.49343,0.83391,0.00114606,0.00114606,0.00114606
16,304.221,0.46818,0.52457,0.87853,0.99342,0.99816,0.995,0.94608,0.35911,0.46899,0.80747,0.00112585,0.00112585,0.00112585
17,329.713,0.47538,0.50671,0.89124,0.99581,0.99753,0.995,0.92917,0.34127,0.45038,0.81621,0.00110564,0.00110564,0.00110564
18,354.504,0.44386,0.48038,0.88896,0.99672,0.99897,0.995,0.93728,0.3624,0.45268,0.82342,0.00108543,0.00108543,0.00108543
19,379.622,0.44204,0.48958,0.88199,0.99451,0.99899,0.995,0.94999,0.33104,0.42938,0.81086,0.00106522,0.00106522,0.00106522
20,404.55,0.42343,0.47047,0.86521,0.99778,1,0.995,0.91525,0.38703,0.43078,0.83017,0.00104501,0.00104501,0.00104501
21,429.263,0.42172,0.45167,0.86287,0.99711,0.99844,0.995,0.96145,0.30382,0.39212,0.80404,0.0010248,0.0010248,0.0010248
22,453.61,0.41386,0.44663,0.85237,0.9964,1,0.995,0.916,0.38063,0.42252,0.82427,0.00100459,0.00100459,0.00100459
23,478.793,0.42502,0.46653,0.85861,0.9974,1,0.995,0.94822,0.33653,0.39243,0.81042,0.000984377,0.000984377,0.000984377
