epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.59147,0.76321,3.39151,0.95159,0.01063,1,0.26411,0.20748,0.54105,3.37948,0.81119,0.00015719,0.00015719,0.00015719
2,12.9353,0.66818,1.87497,0.91631,1,0.14947,0.76166,0.60256,0.58124,2.78195,0.82491,0.000324022,0.000324022,0.000324022
3,19.2443,0.61273,0.95619,0.88861,1,0.15662,0.87328,0.74634,0.47008,2.63096,0.82381,0.000486003,0.000486003,0.000486003
4,25.5472,0.59957,0.76196,0.89315,1,0.49889,0.91926,0.82082,0.43778,2.30531,0.8549,0.000643134,0.000643134,0.000643134
5,31.7502,0.55501,0.67089,0.89905,1,0.64807,0.99484,0.91452,0.44172,1.84203,0.85813,0.000795414,0.000795414,0.000795414
6,37.9223,0.53684,0.70432,0.92823,0.99373,0.83281,0.99468,0.91349,0.41751,1.54654,0.85681,0.000942844,0.000942844,0.000942844
7,44.0354,0.5367,0.65997,0.90062,0.99252,0.98122,0.99484,0.90797,0.4433,1.15248,0.84393,0.00108542,0.00108542,0.00108542
8,50.2379,0.52423,0.65153,0.90776,0.9963,0.96392,0.995,0.91047,0.42809,1.17065,0.84451,0.00122315,0.00122315,0.00122315
9,56.3882,0.48583,0.60907,0.88857,0.98578,1,0.995,0.92269,0.38462,0.83435,0.83738,0.00126732,0.00126732,0.00126732
10,62.5742,0.4875,0.57081,0.88818,0.98297,0.99826,0.995,0.91753,0.40274,0.65985,0.82331,0.00124711,0.00124711,0.00124711
11,68.852,0.47016,0.58189,0.89047,0.99739,1,0.995,0.90852,0.41027,0.56814,0.83508,0.0012269,0.0012269,0.0012269
12,75.0716,0.47434,0.53941,0.88309,0.99258,1,0.995,0.92104,0.36331,0.51304,0.82533,0.00120669,0.00120669,0.00120669
13,81.1971,0.44306,0.5184,0.8712,0.99812,0.99834,0.995,0.94285,0.35089,0.48351,0.81167,0.00118648,0.00118648,0.00118648
14,87.4017,0.40772,0.51221,0.85957,0.99642,0.99917,0.995,0.9412,0.3462,0.46346,0.82406,0.00116627,0.00116627,0.00116627
