epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5056,1.24363,3.4046,1.07854,0.01012,0.99291,0.18259,0.12924,0.73134,3.45761,0.872,0.00015719,0.00015719,0.00015719
2,53.2365,0.83443,1.96,0.95775,0.0172,1,0.44932,0.35218,0.62081,2.97676,0.83646,0.000324022,0.000324022,0.000324022
3,77.3656,0.7092,1.02876,0.91261,0.02627,1,0.73332,0.6008,0.55283,3.03368,0.8377,0.000486003,0.000486003,0.000486003
4,94.4749,0.68319,0.80419,0.91414,1,0.13688,0.6884,0.59426,0.59679,2.84739,0.85098,0.000643134,0.000643134,0.000643134
5,120.639,0.66624,0.75388,0.91683,1,0.52844,0.88105,0.72934,0.54953,2.24862,0.85276,0.000795414,0.000795414,0.000795414
6,145.409,0.63101,0.74866,0.93997,0.99835,0.61458,0.91885,0.79701,0.53463,1.67258,0.86011,0.000942844,0.000942844,0.000942844
7,170.284,0.62437,0.68383,0.916,0.96908,0.81454,0.93983,0.82689,0.52838,1.27359,0.85554,0.00108542,0.00108542,0.00108542
8,194.717,0.59884,0.66965,0.92448,0.98096,0.94882,0.99126,0.85729,0.54149,0.98177,0.8667,0.00122315,0.00122315,0.00122315
9,219.102,0.5558,0.63154,0.90094,0.98632,0.99935,0.99486,0.8896,0.47772,0.63766,0.85322,0.00126732,0.00126732,0.00126732
10,243.677,0.57038,0.61207,0.90083,0.98756,0.96386,0.99407,0.90793,0.46298,0.73799,0.85478,0.00124711,0.00124711,0.00124711
11,268.466,0.54047,0.61782,0.91133,0.9796,0.99699,0.99458,0.88161,0.50633,0.69867,0.86754,0.0012269,0.0012269,0.0012269
12,293.027,0.53864,0.5593,0.8954,0.99002,0.99351,0.99472,0.92087,0.42159,0.52756,0.84157,0.00120669,0.00120669,0.00120669
13,317.787,0.5151,0.54822,0.88389,0.98845,0.99333,0.995,0.89453,0.46951,0.52653,0.84515,0.00118648,0.00118648,0.00118648
14,342.492,0.48973,0.5404,0.87475,0.99081,0.99869,0.995,0.89646,0.42381,0.49597,0.83498,0.00116627,0.00116627,0.00116627
15,352,0.4963,0.51651,0.88329,0.9969,0.99965,0.995,0.90365,0.41467,0.47906,0.84051,0.00114606,0.00114606,0.00114606
16,358.089,0.51189,0.54573,0.88433,0.9891,1,0.995,0.90779,0.43764,0.47713,0.83652,0.00112585,0.00112585,0.00112585
17,364.268,0.51568,0.52046,0.89553,0.99436,0.99905,0.995,0.90685,0.42593,0.47399,0.83322,0.00110564,0.00110564,0.00110564
18,371.831,0.48217,0.50525,0.89519,0.99864,0.99953,0.995,0.9295,0.38437,0.43707,0.82535,0.00108543,0.00108543,0.00108543
19,384.34,0.51428,0.52439,0.89392,0.99729,1,0.995,0.91956,0.41992,0.42057,0.82644,0.00106522,0.00106522,0.00106522
20,407.343,0.46516,0.48548,0.86695,0.997,1,0.995,0.91102,0.41198,0.42945,0.8304,0.00104501,0.00104501,0.00104501
21,413.532,0.47013,0.46655,0.8717,0.99405,1,0.995,0.92219,0.40436,0.41716,0.82427,0.0010248,0.0010248,0.0010248
22,425.985,0.45007,0.46184,0.85899,0.99753,1,0.995,0.93041,0.39072,0.41718,0.82188,0.00100459,0.00100459,0.00100459
23,450.7,0.45215,0.47052,0.86333,0.99682,1,0.995,0.93642,0.39695,0.4054,0.81832,0.000984377,0.000984377,0.000984377
24,475.068,0.45778,0.46539,0.87505,0.99722,1,0.995,0.94399,0.32819,0.38428,0.81052,0.000964167,0.000964167,0.000964167
25,499.621,0.44004,0.4455,0.88441,0.99509,1,0.995,0.92471,0.36981,0.41218,0.81389,0.000943957,0.000943957,0.000943957
26,524.474,0.45737,0.46096,0.87186,0.99693,1,0.995,0.93955,0.35563,0.38805,0.81479,0.000923746,0.000923746,0.000923746
27,534.132,0.41847,0.43943,0.86381,0.99666,1,0.995,0.9185,0.38641,0.37879,0.82192,0.000903536,0.000903536,0.000903536
28,540.93,0.4433,0.47355,0.88712,0.99671,1,0.995,0.93494,0.36092,0.37351,0.81831,0.000883326,0.000883326,0.000883326
29,547.709,0.42899,0.44522,0.86904,0.99473,1,0.995,0.94095,0.34906,0.37045,0.8127,0.000863116,0.000863116,0.000863116
30,564.347,0.42638,0.42699,0.85627,0.99605,1,0.995,0.91949,0.39024,0.40728,0.82262,0.000842906,0.000842906,0.000842906
31,589.021,0.42717,0.42015,0.84916,0.99518,1,0.995,0.93917,0.34159,0.3671,0.81594,0.000822696,0.000822696,0.000822696
32,613.634,0.41307,0.42327,0.86292,0.99609,1,0.995,0.93298,0.36068,0.37792,0.81384,0.000802486,0.000802486,0.000802486
33,629.258,0.43713,0.43321,0.87442,0.99044,1,0.995,0.94716,0.32031,0.33936,0.81137,0.000782275,0.000782275,0.000782275
34,645.477,0.43254,0.42081,0.86988,0.99043,1,0.995,0.95128,0.32551,0.33601,0.80933,0.000762065,0.000762065,0.000762065
35,651.687,0.41504,0.40662,0.8686,0.99702,1,0.995,0.94272,0.33267,0.35506,0.81073,0.000741855,0.000741855,0.000741855
36,658.295,0.40089,0.40675,0.86638,0.99633,1,0.995,0.93739,0.35992,0.36907,0.81922,0.000721645,0.000721645,0.000721645
37,664.343,0.39568,0.39805,0.85685,0.99671,1,0.995,0.95734,0.28747,0.33985,0.80578,0.000701435,0.000701435,0.000701435
38,676.356,0.39094,0.39229,0.8673,0.99853,0.999,0.995,0.9335,0.36406,0.3454,0.81696,0.000681225,0.000681225,0.000681225
39,687.093,0.41091,0.37991,0.8583,0.99536,1,0.995,0.96269,0.30113,0.31976,0.80506,0.000661015,0.000661015,0.000661015
40,704.804,0.40195,0.37892,0.85517,0.99337,0.99291,0.99486,0.94634,0.33287,0.3257,0.80992,0.000640804,0.000640804,0.000640804
