epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62475,0.76899,3.3109,0.93861,0.01021,1,0.34062,0.26746,0.4117,3.32997,0.798,0.00015719,0.00015719,0.00015719
2,13.0526,0.67475,1.79671,0.91233,1,0.09125,0.66901,0.54217,0.53415,2.82391,0.81515,0.000324022,0.000324022,0.000324022
3,19.3009,0.60871,0.91856,0.88153,1,0.49322,0.7758,0.67235,0.48058,2.77625,0.82197,0.000486003,0.000486003,0.000486003
4,25.5973,0.58419,0.73732,0.88971,1,0.31579,0.81272,0.70181,0.52253,2.37642,0.85025,0.000643134,0.000643134,0.000643134
5,31.7792,0.55981,0.66909,0.89763,1,0.77224,0.98824,0.89052,0.48284,1.8638,0.89667,0.000795414,0.000795414,0.000795414
6,38.0269,0.55671,0.68441,0.92205,0.82037,0.79213,0.89312,0.82783,0.418,1.59083,0.85369,0.000942844,0.000942844,0.000942844
7,44.2022,0.53662,0.63852,0.88743,0.98626,0.97543,0.99401,0.90067,0.49208,0.93112,0.85756,0.00108542,0.00108542,0.00108542
8,50.3862,0.56334,0.65053,0.90624,0.97451,0.98333,0.9901,0.90603,0.40454,0.88201,0.83026,0.00122315,0.00122315,0.00122315
9,56.5058,0.50583,0.61612,0.89012,0.99379,0.99014,0.99484,0.9034,0.43983,0.87322,0.85298,0.00126732,0.00126732,0.00126732
10,62.7936,0.51882,0.58517,0.88802,0.98932,0.99734,0.995,0.88802,0.4993,0.64732,0.84963,0.00124711,0.00124711,0.00124711
11,69.0276,0.47763,0.58435,0.8919,0.99247,1,0.995,0.93262,0.37241,0.68394,0.83851,0.0012269,0.0012269,0.0012269
12,75.2545,0.48335,0.54825,0.88562,0.98794,0.99473,0.995,0.92457,0.39436,0.61923,0.83026,0.00120669,0.00120669,0.00120669
13,81.4668,0.46783,0.53013,0.87458,0.99331,1,0.995,0.92589,0.37141,0.51302,0.82624,0.00118648,0.00118648,0.00118648
14,87.8525,0.44091,0.50912,0.86267,0.99089,1,0.995,0.91858,0.38293,0.51905,0.8255,0.00116627,0.00116627,0.00116627
15,94.1976,0.46295,0.51034,0.8803,0.99423,1,0.995,0.9252,0.37295,0.52528,0.83884,0.00114606,0.00114606,0.00114606
16,100.575,0.45797,0.54428,0.87453,0.99532,0.99966,0.995,0.93651,0.37961,0.49664,0.8211,0.00112585,0.00112585,0.00112585
17,111.042,0.47934,0.52713,0.88948,0.99658,0.99933,0.995,0.92498,0.35112,0.49511,0.81967,0.00110564,0.00110564,0.00110564
18,120.629,0.44877,0.5235,0.89064,0.98921,1,0.995,0.93524,0.35434,0.45755,0.81399,0.00108543,0.00108543,0.00108543
19,126.776,0.43039,0.50696,0.88007,0.99796,1,0.995,0.92621,0.35251,0.46015,0.81276,0.00106522,0.00106522,0.00106522
20,132.957,0.41431,0.47289,0.86365,0.99627,1,0.995,0.93449,0.3383,0.45337,0.81464,0.00104501,0.00104501,0.00104501
21,139.153,0.41103,0.45227,0.85676,0.99661,1,0.995,0.94625,0.31451,0.4262,0.80803,0.0010248,0.0010248,0.0010248
22,145.231,0.40314,0.45321,0.84778,0.99421,0.99846,0.995,0.94448,0.34219,0.45527,0.81271,0.00100459,0.00100459,0.00100459
23,151.396,0.43436,0.48161,0.85588,0.99426,1,0.995,0.94871,0.30937,0.4331,0.80179,0.000984377,0.000984377,0.000984377
24,157.686,0.42289,0.46595,0.86325,0.99792,1,0.995,0.94898,0.34088,0.40127,0.8085,0.000964167,0.000964167,0.000964167
25,163.845,0.39862,0.43245,0.86906,0.99566,0.99858,0.995,0.96568,0.2752,0.36768,0.78947,0.000943957,0.000943957,0.000943957
26,170.03,0.41219,0.44699,0.85742,0.99764,1,0.995,0.94769,0.29873,0.3746,0.79979,0.000923746,0.000923746,0.000923746
27,176.076,0.37826,0.42422,0.85836,0.99603,0.99872,0.995,0.96622,0.27881,0.3621,0.79783,0.000903536,0.000903536,0.000903536
28,182.213,0.39845,0.45446,0.88001,0.99619,1,0.995,0.96551,0.28294,0.37307,0.79473,0.000883326,0.000883326,0.000883326
29,188.308,0.39143,0.44455,0.85974,0.99596,1,0.995,0.97572,0.2527,0.35559,0.79818,0.000863116,0.000863116,0.000863116
30,194.626,0.39383,0.41625,0.85123,0.99566,1,0.995,0.9411,0.3732,0.44154,0.8188,0.000842906,0.000842906,0.000842906
31,200.76,0.39887,0.41157,0.84601,0.99774,1,0.995,0.97486,0.24538,0.34735,0.79439,0.000822696,0.000822696,0.000822696
32,206.881,0.37578,0.41779,0.85527,0.99705,1,0.995,0.94529,0.3199,0.37179,0.80767,0.000802486,0.000802486,0.000802486
33,212.963,0.37536,0.42025,0.86319,0.99683,1,0.995,0.96936,0.25064,0.33048,0.79649,0.000782275,0.000782275,0.000782275
34,219.248,0.39364,0.40532,0.86559,0.99645,1,0.995,0.9511,0.32414,0.36081,0.80435,0.000762065,0.000762065,0.000762065
35,225.443,0.38533,0.39214,0.86953,0.99708,1,0.995,0.97508,0.23311,0.32262,0.79119,0.000741855,0.000741855,0.000741855
36,231.527,0.37646,0.39683,0.86631,0.99702,1,0.995,0.96509,0.29682,0.34017,0.80135,0.000721645,0.000721645,0.000721645
37,237.649,0.3882,0.39541,0.85473,0.99705,1,0.995,0.97378,0.2752,0.35055,0.79774,0.000701435,0.000701435,0.000701435
38,243.713,0.3658,0.38772,0.86199,0.99636,0.99939,0.995,0.97559,0.23666,0.31538,0.79323,0.000681225,0.000681225,0.000681225
