epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8946,0.91732,3.37586,1.00392,0.00953,0.89448,0.15041,0.12029,0.53726,3.50932,0.93162,0.00015719,0.00015719,0.00015719
2,52.034,0.7828,2.00384,0.9639,0.84397,0.31773,0.46684,0.35838,0.72525,3.0173,0.97315,0.000324022,0.000324022,0.000324022
3,77.8001,0.65578,1.03846,0.91336,0.02577,0.88739,0.63794,0.52825,0.62685,3.03111,0.97349,0.000486003,0.000486003,0.000486003
4,103.166,0.61931,0.80526,0.89959,1,0.29667,0.8564,0.7487,0.66744,2.46534,0.97474,0.000643134,0.000643134,0.000643134
5,128.557,0.59906,0.72262,0.91207,1,0.36915,0.88791,0.82208,0.56237,2.34511,0.92098,0.000795414,0.000795414,0.000795414
6,154.126,0.59162,0.71969,0.93745,0.98746,0.59153,0.88216,0.79019,0.62118,2.03081,0.96559,0.000942844,0.000942844,0.000942844
7,175.408,0.58702,0.71282,0.90779,0.98997,0.86486,0.92268,0.79787,0.68346,1.48466,0.96234,0.00108542,0.00108542,0.00108542
8,189.334,0.60668,0.70869,0.93745,0.95783,0.87919,0.92541,0.8111,0.5793,1.36238,0.92376,0.00122315,0.00122315,0.00122315
9,213.366,0.54995,0.63886,0.90666,0.98176,0.90316,0.95345,0.83999,0.54315,0.90517,0.88458,0.00126732,0.00126732,0.00126732
10,238.816,0.53789,0.61324,0.90393,0.97852,0.93466,0.97166,0.85006,0.54962,0.69867,0.88654,0.00124711,0.00124711,0.00124711
11,264.072,0.52206,0.61471,0.90683,0.99464,0.90787,0.9504,0.87349,0.46475,0.73338,0.86407,0.0012269,0.0012269,0.0012269
12,289.196,0.51304,0.56739,0.89344,0.92202,0.92205,0.93724,0.86217,0.45543,0.79053,0.88662,0.00120669,0.00120669,0.00120669
13,314.326,0.49426,0.57577,0.89028,0.98399,0.93369,0.94687,0.86082,0.47021,0.65836,0.88103,0.00118648,0.00118648,0.00118648
14,339.689,0.46368,0.53717,0.87487,0.99395,0.93369,0.9518,0.85957,0.46116,0.62155,0.87366,0.00116627,0.00116627,0.00116627
15,364.973,0.49509,0.52255,0.8903,0.99517,0.93369,0.96539,0.8729,0.46337,0.58625,0.85865,0.00114606,0.00114606,0.00114606
16,393.083,0.50176,0.58786,0.89128,0.97806,0.96131,0.96677,0.87944,0.47554,0.57296,0.85783,0.00112585,0.00112585,0.00112585
17,418.55,0.49094,0.51567,0.90109,0.97675,0.94879,0.96615,0.89519,0.42014,0.56176,0.85547,0.00110564,0.00110564,0.00110564
18,444.33,0.4971,0.54445,0.91206,0.99313,0.93514,0.96278,0.90591,0.38642,0.60647,0.84438,0.00108543,0.00108543,0.00108543
19,470.212,0.466,0.53239,0.88826,0.99212,0.93926,0.96297,0.89952,0.42292,0.53885,0.84941,0.00106522,0.00106522,0.00106522
20,495.8,0.46189,0.49134,0.87415,0.99146,0.9425,0.97098,0.90707,0.40097,0.48494,0.84531,0.00104501,0.00104501,0.00104501
21,521.412,0.44616,0.48028,0.8694,0.99285,0.93548,0.97036,0.91883,0.38533,0.4877,0.84204,0.0010248,0.0010248,0.0010248
22,545.689,0.44514,0.48817,0.86319,0.95633,0.95035,0.97008,0.89571,0.40086,0.51258,0.84903,0.00100459,0.00100459,0.00100459
23,568.29,0.4284,0.47733,0.86524,0.99392,0.94082,0.97005,0.90614,0.40657,0.49412,0.84336,0.000984377,0.000984377,0.000984377
24,592.984,0.44255,0.47356,0.87776,0.99701,0.935,0.97126,0.93419,0.34465,0.46591,0.82622,0.000964167,0.000964167,0.000964167
25,618.148,0.40274,0.43271,0.87846,0.99433,0.9495,0.96022,0.89668,0.43158,0.49789,0.85621,0.000943957,0.000943957,0.000943957
26,643.433,0.42848,0.45806,0.86882,0.99602,0.95375,0.96139,0.91705,0.34598,0.4746,0.83825,0.000923746,0.000923746,0.000923746
27,668.627,0.41395,0.45072,0.86659,0.99766,0.95141,0.97132,0.895,0.41411,0.46055,0.84096,0.000903536,0.000903536,0.000903536
28,693.752,0.45444,0.49068,0.89634,0.99273,0.94029,0.97486,0.93572,0.34087,0.44777,0.83446,0.000883326,0.000883326,0.000883326
29,719.292,0.41842,0.44989,0.87732,0.98813,0.9415,0.97576,0.92102,0.36218,0.4826,0.84052,0.000863116,0.000863116,0.000863116
30,744.344,0.43302,0.44124,0.86489,0.98946,0.94851,0.97678,0.89382,0.44383,0.50036,0.85325,0.000842906,0.000842906,0.000842906
31,769.508,0.42609,0.44269,0.85401,0.98774,0.9435,0.97113,0.9294,0.34896,0.49522,0.83655,0.000822696,0.000822696,0.000822696
32,794.679,0.40789,0.43994,0.86871,0.99844,0.93452,0.97009,0.9135,0.39808,0.49378,0.85043,0.000802486,0.000802486,0.000802486
33,819.775,0.39152,0.42585,0.8699,0.99489,0.93445,0.96835,0.9315,0.30578,0.43968,0.82786,0.000782275,0.000782275,0.000782275
34,845.022,0.43709,0.43906,0.88111,0.99377,0.94051,0.97266,0.90862,0.38539,0.4361,0.83424,0.000762065,0.000762065,0.000762065
35,870.156,0.40994,0.41854,0.87264,0.99598,0.93892,0.97669,0.93818,0.31331,0.41374,0.8199,0.000741855,0.000741855,0.000741855
36,895.804,0.39953,0.41201,0.87027,0.99422,0.95956,0.98118,0.9317,0.36269,0.41612,0.82512,0.000721645,0.000721645,0.000721645
37,921.125,0.40977,0.40854,0.86554,0.99728,0.95709,0.97918,0.93809,0.32566,0.41477,0.82399,0.000701435,0.000701435,0.000701435
38,946.34,0.38168,0.40004,0.86819,0.99784,0.95639,0.98039,0.94807,0.3043,0.39773,0.81637,0.000681225,0.000681225,0.000681225
39,973.88,0.39972,0.40614,0.86313,0.98864,0.97366,0.98555,0.92768,0.39014,0.39293,0.83132,0.000661015,0.000661015,0.000661015
40,999.084,0.39181,0.39926,0.8567,0.97866,0.9805,0.98634,0.94384,0.32567,0.38671,0.82028,0.000640804,0.000640804,0.000640804
41,1024.38,0.38264,0.3952,0.86432,0.98909,0.95124,0.98279,0.94115,0.34738,0.39816,0.82314,0.000620594,0.000620594,0.000620594
42,1049.64,0.36253,0.37657,0.8483,0.99683,0.94863,0.98428,0.92639,0.38341,0.39736,0.83059,0.000600384,0.000600384,0.000600384
43,1074.92,0.386,0.40852,0.87959,0.99867,0.94429,0.97823,0.9372,0.31373,0.39669,0.8219,0.000580174,0.000580174,0.000580174
44,1100.26,0.37606,0.39051,0.87601,0.99343,0.93908,0.97954,0.9347,0.34084,0.38722,0.81961,0.000559964,0.000559964,0.000559964
45,1125.46,0.36508,0.37379,0.85745,0.99578,0.93975,0.9765,0.91559,0.39164,0.40959,0.83259,0.000539754,0.000539754,0.000539754
46,1150.6,0.36905,0.3805,0.85493,0.99124,0.93876,0.97944,0.94682,0.28955,0.37596,0.81209,0.000519544,0.000519544,0.000519544
47,1175.72,0.36327,0.37675,0.84903,0.96477,0.97798,0.98205,0.94373,0.30075,0.35616,0.81371,0.000499333,0.000499333,0.000499333
48,1200.73,0.36476,0.36501,0.85345,0.97263,0.97015,0.98276,0.9294,0.36816,0.36542,0.82309,0.000479123,0.000479123,0.000479123
49,1225.94,0.37764,0.37939,0.86854,0.97091,0.97872,0.98329,0.94982,0.2913,0.33871,0.81088,0.000458913,0.000458913,0.000458913
50,1250.65,0.3563,0.3677,0.85713,0.95703,0.97794,0.98109,0.95009,0.29812,0.35169,0.81276,0.000438703,0.000438703,0.000438703
51,1275.62,0.32437,0.3524,0.82972,0.99536,0.94202,0.97461,0.93163,0.3551,0.37193,0.82147,0.000418493,0.000418493,0.000418493
52,1300.71,0.37886,0.36535,0.85397,0.99671,0.94202,0.96988,0.94125,0.30727,0.37742,0.81591,0.000398283,0.000398283,0.000398283
53,1330.32,0.35585,0.35705,0.84864,0.99449,0.93791,0.96806,0.93933,0.27171,0.37067,0.81232,0.000378073,0.000378073,0.000378073
54,1355.89,0.34565,0.36121,0.84697,0.99413,0.93912,0.96755,0.9274,0.34086,0.37482,0.81874,0.000357862,0.000357862,0.000357862
55,1381.46,0.35356,0.34624,0.86193,0.99733,0.94202,0.96876,0.93074,0.32076,0.38383,0.81129,0.000337652,0.000337652,0.000337652
56,1406.85,0.36257,0.35214,0.84324,0.99784,0.94202,0.97105,0.9458,0.25916,0.36309,0.80257,0.000317442,0.000317442,0.000317442
57,1432.96,0.35651,0.35123,0.84294,0.99727,0.94202,0.97157,0.94572,0.2778,0.3646,0.80467,0.000297232,0.000297232,0.000297232
58,1459.05,0.34887,0.35968,0.85611,0.99741,0.94202,0.97638,0.94588,0.30108,0.35003,0.80925,0.000277022,0.000277022,0.000277022
