epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.89044,1.10247,3.38338,1.03431,0.00968,0.99291,0.15422,0.11823,0.55864,3.46597,0.83972,0.00015719,0.00015719,0.00015719
2,24.3482,0.73697,1.84251,0.92449,0.01601,1,0.66889,0.52904,0.61049,2.92753,0.82441,0.000324022,0.000324022,0.000324022
3,49.9621,0.6466,0.93488,0.89755,1,0.22521,0.86146,0.73322,0.51848,2.67404,0.83753,0.000486003,0.000486003,0.000486003
4,75.7292,0.62085,0.77166,0.89327,1,0.46415,0.95492,0.85095,0.51737,2.23021,0.8661,0.000643134,0.000643134,0.000643134
5,101.233,0.58563,0.6958,0.90078,1,0.50466,0.99417,0.90315,0.4537,2.10615,0.84549,0.000795414,0.000795414,0.000795414
6,129.33,0.55866,0.70505,0.92002,0.9801,0.85797,0.995,0.89282,0.47372,1.33387,0.8368,0.000942844,0.000942844,0.000942844
7,168.816,0.55792,0.6675,0.89685,0.98484,0.94999,0.99443,0.90364,0.44041,1.00495,0.83436,0.00108542,0.00108542,0.00108542
8,203.747,0.52679,0.6396,0.90535,0.98817,0.96667,0.99151,0.91562,0.42352,1.07132,0.8281,0.00122315,0.00122315,0.00122315
9,229.501,0.48396,0.58961,0.88543,0.98277,0.9495,0.98232,0.90888,0.37626,0.95484,0.8148,0.00126732,0.00126732,0.00126732
10,254.868,0.49624,0.58337,0.89378,0.97294,0.9631,0.99172,0.91321,0.39717,0.81718,0.82312,0.00124711,0.00124711,0.00124711
11,279.681,0.4808,0.60469,0.89694,0.9836,0.985,0.99484,0.9047,0.41828,0.72193,0.82736,0.0012269,0.0012269,0.0012269
12,301.449,0.48682,0.54032,0.88655,0.99226,0.99544,0.995,0.92766,0.39047,0.55003,0.83858,0.00120669,0.00120669,0.00120669
13,308.071,0.45921,0.52225,0.87344,0.99038,0.99623,0.995,0.92178,0.39803,0.54903,0.83217,0.00118648,0.00118648,0.00118648
14,325.373,0.43706,0.52462,0.86751,0.9978,0.99476,0.995,0.94318,0.33694,0.46658,0.81365,0.00116627,0.00116627,0.00116627
15,350.497,0.44146,0.49189,0.87592,0.99381,0.99918,0.995,0.91649,0.3991,0.54851,0.83803,0.00114606,0.00114606,0.00114606
16,375.407,0.45241,0.52976,0.87104,0.99704,0.99909,0.995,0.92782,0.37677,0.488,0.82181,0.00112585,0.00112585,0.00112585
17,400.357,0.47343,0.51601,0.88686,0.99618,1,0.995,0.929,0.37607,0.43753,0.82399,0.00110564,0.00110564,0.00110564
18,421.753,0.44442,0.50498,0.88668,0.99557,0.99934,0.995,0.94068,0.36052,0.44053,0.82473,0.00108543,0.00108543,0.00108543
19,444.053,0.45463,0.49819,0.8803,0.99547,1,0.995,0.93337,0.35425,0.4752,0.81079,0.00106522,0.00106522,0.00106522
20,468.71,0.42474,0.48293,0.86245,0.99765,0.99996,0.995,0.92222,0.39239,0.41808,0.82638,0.00104501,0.00104501,0.00104501
21,493.311,0.42879,0.45423,0.86418,0.98884,1,0.99419,0.95071,0.31812,0.39867,0.81046,0.0010248,0.0010248,0.0010248
22,517.708,0.42947,0.45266,0.85447,0.98951,1,0.99402,0.91193,0.39018,0.40748,0.82537,0.00100459,0.00100459,0.00100459
