epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.24049,0.73058,3.37221,0.94399,0.01049,1,0.19474,0.15283,0.43988,3.41632,0.80034,0.00015719,0.00015719,0.00015719
2,14.2462,0.66475,1.86571,0.91549,1,0.11889,0.6539,0.54071,0.5033,2.82492,0.8072,0.000324022,0.000324022,0.000324022
3,21.0641,0.61212,0.95521,0.89033,1,0.30188,0.9302,0.80792,0.4918,2.46725,0.82491,0.000486003,0.000486003,0.000486003
4,27.5755,0.58349,0.7664,0.88703,0.99345,0.5476,0.9322,0.83144,0.44376,2.20973,0.85086,0.000643134,0.000643134,0.000643134
5,34.467,0.55395,0.68381,0.89766,1,0.59508,0.99268,0.90682,0.40876,1.93197,0.84895,0.000795414,0.000795414,0.000795414
6,41.0325,0.53841,0.70044,0.92088,0.99932,0.92812,0.995,0.93379,0.38764,1.44771,0.83266,0.000942844,0.000942844,0.000942844
7,47.6837,0.51661,0.6427,0.89044,0.98759,0.97511,0.99465,0.90563,0.43324,1.09247,0.83572,0.00108542,0.00108542,0.00108542
8,54.4335,0.52867,0.64445,0.90443,0.98873,0.96966,0.995,0.89217,0.4767,1.01131,0.84388,0.00122315,0.00122315,0.00122315
9,60.9621,0.4904,0.60256,0.8806,0.99529,1,0.995,0.91837,0.4024,0.66734,0.84576,0.00126732,0.00126732,0.00126732
10,67.5237,0.5096,0.57352,0.89156,0.98544,0.98932,0.995,0.90879,0.44319,0.74851,0.83568,0.00124711,0.00124711,0.00124711
11,74.8455,0.48503,0.58923,0.89475,0.9937,0.99895,0.995,0.91523,0.41845,0.58477,0.83477,0.0012269,0.0012269,0.0012269
12,81.5641,0.49844,0.55452,0.89007,0.98818,1,0.995,0.9271,0.4013,0.61049,0.82824,0.00120669,0.00120669,0.00120669
13,88.4178,0.4699,0.53688,0.87465,0.99267,0.99894,0.995,0.9351,0.35879,0.53657,0.82585,0.00118648,0.00118648,0.00118648
14,95.0542,0.45218,0.53085,0.86699,0.99253,1,0.995,0.91776,0.38868,0.54178,0.8259,0.00116627,0.00116627,0.00116627
15,101.907,0.47702,0.52207,0.88187,0.99713,1,0.995,0.94475,0.32907,0.4633,0.80828,0.00114606,0.00114606,0.00114606
16,108.87,0.47701,0.55061,0.88062,0.99632,0.99408,0.995,0.9231,0.41609,0.47313,0.82612,0.00112585,0.00112585,0.00112585
17,115.525,0.48478,0.53049,0.88739,0.99654,1,0.995,0.93886,0.34776,0.45762,0.81771,0.00110564,0.00110564,0.00110564
18,122.483,0.44321,0.50103,0.88384,0.99557,1,0.995,0.94341,0.31365,0.43783,0.80423,0.00108543,0.00108543,0.00108543
