epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.81707,0.69927,3.37131,0.92826,0.01046,1,0.28808,0.24019,0.50728,3.33553,0.81913,0.00015719,0.00015719,0.00015719
2,13.5186,0.65544,1.91618,0.89365,0.89428,0.30589,0.65323,0.51901,0.56241,2.80175,0.81086,0.000324022,0.000324022,0.000324022
3,19.9916,0.6161,0.95407,0.90488,1,0.25573,0.9229,0.82302,0.45241,2.48223,0.81396,0.000486003,0.000486003,0.000486003
4,26.3553,0.56024,0.73589,0.89056,0.9841,0.71111,0.97779,0.84921,0.53135,1.79375,0.84874,0.000643134,0.000643134,0.000643134
5,32.6255,0.57691,0.68854,0.90209,1,0.95526,0.995,0.92674,0.3876,1.46128,0.83558,0.000795414,0.000795414,0.000795414
6,39.0136,0.56014,0.67266,0.92024,0.97531,0.98396,0.995,0.87814,0.51218,1.17799,0.90053,0.000942844,0.000942844,0.000942844
7,45.1526,0.5275,0.64827,0.90878,0.99403,0.99654,0.995,0.88908,0.50127,1.04303,0.87398,0.00108542,0.00108542,0.00108542
8,51.3586,0.51702,0.61255,0.89783,0.98698,0.98478,0.995,0.94394,0.36491,0.89249,0.83231,0.00122315,0.00122315,0.00122315
9,57.4415,0.49436,0.59632,0.8863,0.99568,1,0.995,0.89853,0.45695,0.76914,0.86459,0.00126732,0.00126732,0.00126732
10,63.5657,0.51935,0.58011,0.87499,0.98885,0.99703,0.995,0.92881,0.37579,0.60705,0.82991,0.00124711,0.00124711,0.00124711
11,69.7156,0.49129,0.55189,0.89123,0.99732,0.9991,0.995,0.91452,0.42968,0.54811,0.84135,0.0012269,0.0012269,0.0012269
12,93.988,0.48843,0.54296,0.89252,0.99466,1,0.995,0.94421,0.35526,0.56732,0.81379,0.00120669,0.00120669,0.00120669
13,119.658,0.44297,0.52421,0.87124,0.99589,0.99957,0.995,0.93392,0.37741,0.49648,0.82433,0.00118648,0.00118648,0.00118648
14,145.698,0.43271,0.50941,0.86803,0.99524,1,0.995,0.93155,0.38185,0.48519,0.83656,0.00116627,0.00116627,0.00116627
15,157.946,0.44299,0.50364,0.88418,0.99743,1,0.995,0.93242,0.37568,0.49011,0.82258,0.00114606,0.00114606,0.00114606
16,164.198,0.45296,0.51022,0.89022,0.99523,1,0.995,0.95896,0.31877,0.47364,0.80461,0.00112585,0.00112585,0.00112585
17,170.739,0.45491,0.51098,0.87945,0.99736,0.99894,0.995,0.95327,0.33383,0.4238,0.81442,0.00110564,0.00110564,0.00110564
18,177.085,0.43364,0.46398,0.86983,0.99721,1,0.995,0.95129,0.33041,0.41326,0.81266,0.00108543,0.00108543,0.00108543
19,183.367,0.43581,0.49355,0.87066,0.99398,0.99752,0.995,0.95917,0.29447,0.44079,0.80849,0.00106522,0.00106522,0.00106522
20,189.708,0.44223,0.4802,0.8897,0.99694,1,0.995,0.95335,0.31319,0.41133,0.81557,0.00104501,0.00104501,0.00104501
21,195.738,0.41351,0.45423,0.86687,0.99653,0.99938,0.995,0.96145,0.30026,0.37724,0.80869,0.0010248,0.0010248,0.0010248
22,201.901,0.41961,0.46008,0.88199,0.99555,1,0.995,0.96042,0.28954,0.40473,0.79953,0.00100459,0.00100459,0.00100459
23,208.041,0.39268,0.43773,0.85952,0.99587,0.9993,0.995,0.95526,0.29961,0.38004,0.80768,0.000984377,0.000984377,0.000984377
24,214.196,0.40414,0.44542,0.87271,0.99686,1,0.995,0.94776,0.33356,0.39104,0.81543,0.000964167,0.000964167,0.000964167
25,220.466,0.40368,0.44357,0.86127,0.99607,1,0.995,0.94781,0.32209,0.40504,0.81594,0.000943957,0.000943957,0.000943957
26,226.67,0.40316,0.43278,0.85687,0.99658,1,0.995,0.96695,0.2764,0.35848,0.7994,0.000923746,0.000923746,0.000923746
27,232.781,0.37503,0.4124,0.86795,0.99757,1,0.995,0.93437,0.37145,0.3896,0.81369,0.000903536,0.000903536,0.000903536
28,238.898,0.40641,0.44148,0.8726,0.99872,1,0.995,0.97101,0.27118,0.35667,0.79744,0.000883326,0.000883326,0.000883326
29,244.995,0.3902,0.40505,0.85019,0.99728,1,0.995,0.96424,0.28403,0.34486,0.80037,0.000863116,0.000863116,0.000863116
30,251.067,0.42053,0.41932,0.87868,0.99712,1,0.995,0.92242,0.38132,0.3696,0.8173,0.000842906,0.000842906,0.000842906
31,257.398,0.37507,0.40588,0.85242,0.99779,1,0.995,0.9773,0.26937,0.33902,0.79804,0.000822696,0.000822696,0.000822696
32,263.785,0.40252,0.41634,0.86573,0.99621,0.99986,0.995,0.95835,0.3236,0.3419,0.8069,0.000802486,0.000802486,0.000802486
33,270.079,0.37185,0.4048,0.85625,0.99626,1,0.995,0.97408,0.26639,0.33715,0.79393,0.000782275,0.000782275,0.000782275
34,276.305,0.37939,0.38968,0.84697,0.99739,1,0.995,0.97985,0.24379,0.31571,0.79118,0.000762065,0.000762065,0.000762065
35,282.432,0.38454,0.40699,0.86786,0.9967,1,0.995,0.97461,0.28241,0.3391,0.79627,0.000741855,0.000741855,0.000741855
36,288.627,0.36243,0.41332,0.85532,0.99624,0.99995,0.995,0.97638,0.25017,0.30862,0.79061,0.000721645,0.000721645,0.000721645
37,294.791,0.35447,0.38487,0.85181,0.99786,1,0.995,0.9803,0.23342,0.3128,0.78854,0.000701435,0.000701435,0.000701435
38,300.97,0.36177,0.37646,0.85276,0.99722,1,0.995,0.97799,0.26156,0.32354,0.7943,0.000681225,0.000681225,0.000681225
39,307.014,0.35451,0.37126,0.84799,0.99662,0.99963,0.995,0.97281,0.26427,0.3282,0.79498,0.000661015,0.000661015,0.000661015
40,313.224,0.35984,0.37457,0.85435,0.99799,1,0.995,0.9743,0.26868,0.31331,0.79917,0.000640804,0.000640804,0.000640804
41,319.367,0.36051,0.37542,0.84455,0.99838,1,0.995,0.98265,0.23382,0.29452,0.78987,0.000620594,0.000620594,0.000620594
42,325.471,0.34223,0.37315,0.85953,0.99797,1,0.995,0.98362,0.25868,0.30356,0.79026,0.000600384,0.000600384,0.000600384
43,331.701,0.34136,0.37071,0.84844,0.99802,1,0.995,0.97638,0.26101,0.30686,0.79169,0.000580174,0.000580174,0.000580174
44,338.144,0.33876,0.357,0.853,0.99851,1,0.995,0.97864,0.21391,0.27808,0.7834,0.000559964,0.000559964,0.000559964
45,344.426,0.34742,0.36517,0.85744,0.99769,1,0.995,0.97657,0.2551,0.29959,0.78919,0.000539754,0.000539754,0.000539754
46,350.745,0.33496,0.36308,0.84567,0.99754,1,0.995,0.98266,0.24193,0.28413,0.7848,0.000519544,0.000519544,0.000519544
47,357.083,0.33331,0.35352,0.83977,0.99879,1,0.995,0.98308,0.20778,0.28294,0.782,0.000499333,0.000499333,0.000499333
48,363.571,0.34959,0.3671,0.84433,0.99792,0.99934,0.995,0.95249,0.31702,0.32088,0.79778,0.000479123,0.000479123,0.000479123
49,370.164,0.35086,0.35913,0.86791,0.99544,0.99915,0.995,0.97647,0.24131,0.30103,0.78749,0.000458913,0.000458913,0.000458913
50,376.721,0.35238,0.36489,0.84683,0.99723,1,0.995,0.98486,0.219,0.27869,0.78324,0.000438703,0.000438703,0.000438703
51,383.041,0.3422,0.35672,0.85306,0.9979,1,0.995,0.97817,0.238,0.27662,0.78522,0.000418493,0.000418493,0.000418493
52,389.581,0.32385,0.34828,0.83966,0.9975,1,0.995,0.97926,0.24584,0.2712,0.78823,0.000398283,0.000398283,0.000398283
53,396.141,0.32313,0.34315,0.83942,0.99756,1,0.995,0.96707,0.28133,0.28272,0.79251,0.000378073,0.000378073,0.000378073
54,402.856,0.33,0.3447,0.85998,0.99773,1,0.995,0.97637,0.20895,0.25577,0.78193,0.000357862,0.000357862,0.000357862
55,409.355,0.32104,0.349,0.84597,0.99797,1,0.995,0.9841,0.1921,0.25444,0.77856,0.000337652,0.000337652,0.000337652
56,415.825,0.33052,0.3325,0.8391,0.99781,1,0.995,0.98025,0.20994,0.25725,0.78032,0.000317442,0.000317442,0.000317442
57,422.237,0.33644,0.34614,0.86302,0.99727,1,0.995,0.97427,0.25113,0.26646,0.7873,0.000297232,0.000297232,0.000297232
58,428.693,0.3391,0.33751,0.83812,0.99715,1,0.995,0.97793,0.24251,0.25946,0.78765,0.000277022,0.000277022,0.000277022
59,434.861,0.32054,0.33245,0.83303,0.99749,0.99995,0.995,0.97819,0.23759,0.25836,0.78545,0.000256812,0.000256812,0.000256812
60,441.154,0.33862,0.33629,0.85454,0.99736,1,0.995,0.98173,0.19815,0.24982,0.77911,0.000236602,0.000236602,0.000236602
61,447.387,0.25555,0.28639,0.79212,0.99789,1,0.995,0.98177,0.22565,0.2651,0.78065,0.000216391,0.000216391,0.000216391
62,454.102,0.25267,0.29011,0.81185,0.99831,1,0.995,0.98199,0.2319,0.26538,0.7832,0.000196181,0.000196181,0.000196181
63,460.442,0.23648,0.27488,0.808,0.99833,1,0.995,0.98635,0.18323,0.24237,0.77805,0.000175971,0.000175971,0.000175971
64,466.515,0.24512,0.2736,0.79453,0.99836,1,0.995,0.98738,0.17365,0.23506,0.77683,0.000155761,0.000155761,0.000155761
65,472.561,0.24318,0.26869,0.79748,0.99815,1,0.995,0.98607,0.22267,0.2501,0.78359,0.000135551,0.000135551,0.000135551
