epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4938,0.9146,3.35701,0.97888,0.01017,1,0.11685,0.08923,0.47707,3.47234,0.81308,0.00015719,0.00015719,0.00015719
2,28.8869,0.66483,1.8549,0.92196,0.01694,1,0.64491,0.5212,0.53256,2.95499,0.80908,0.000324022,0.000324022,0.000324022
3,35.1323,0.60004,0.94677,0.89746,1,0.11706,0.8362,0.73617,0.49039,2.74149,0.83166,0.000486003,0.000486003,0.000486003
4,41.5147,0.56202,0.74586,0.88265,1,0.4007,0.92106,0.81832,0.44578,2.39073,0.84425,0.000643134,0.000643134,0.000643134
5,47.8332,0.53376,0.672,0.89456,1,0.55091,0.97752,0.87218,0.45131,2.08124,0.83998,0.000795414,0.000795414,0.000795414
6,54.1249,0.52331,0.69639,0.91186,0.97375,0.76728,0.98659,0.89292,0.43656,1.52565,0.83025,0.000942844,0.000942844,0.000942844
7,68.6873,0.48951,0.6248,0.88784,0.99186,0.98091,0.995,0.91122,0.43197,0.96444,0.84314,0.00108542,0.00108542,0.00108542
8,93.4061,0.50613,0.64049,0.90536,0.98883,0.96414,0.99459,0.90444,0.42474,0.89977,0.83336,0.00122315,0.00122315,0.00122315
9,118.645,0.45545,0.57458,0.88011,0.99116,0.99779,0.995,0.93485,0.37704,0.70387,0.81828,0.00126732,0.00126732,0.00126732
10,138.632,0.45401,0.56299,0.88129,0.99022,0.99786,0.995,0.92493,0.39392,0.67107,0.82212,0.00124711,0.00124711,0.00124711
11,145.096,0.44182,0.56598,0.89218,0.98833,1,0.99486,0.9122,0.387,0.58203,0.83545,0.0012269,0.0012269,0.0012269
12,151.235,0.43296,0.53265,0.87666,0.99385,1,0.995,0.92907,0.35717,0.52832,0.83206,0.00120669,0.00120669,0.00120669
13,160.499,0.40528,0.5091,0.866,0.98823,0.99738,0.99362,0.93393,0.35608,0.4994,0.83822,0.00118648,0.00118648,0.00118648
14,185.458,0.38688,0.49437,0.85541,0.99513,0.9985,0.995,0.95165,0.3212,0.46109,0.80881,0.00116627,0.00116627,0.00116627
15,210.677,0.40946,0.47585,0.8725,0.99318,1,0.995,0.94518,0.32267,0.45123,0.81569,0.00114606,0.00114606,0.00114606
16,235.654,0.40769,0.51966,0.87084,0.99434,1,0.995,0.93746,0.34507,0.46772,0.80422,0.00112585,0.00112585,0.00112585
17,260.662,0.42411,0.47999,0.8839,0.9904,1,0.99417,0.95354,0.29322,0.45589,0.80219,0.00110564,0.00110564,0.00110564
18,286.116,0.40708,0.48177,0.88833,0.99488,1,0.995,0.95523,0.29069,0.44096,0.804,0.00108543,0.00108543,0.00108543
