epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7329,0.95194,3.357,0.98341,0.00994,1,0.14956,0.1151,0.48093,3.45871,0.81452,0.00015719,0.00015719,0.00015719
2,51.4279,0.70321,1.87424,0.92377,0.01449,1,0.66615,0.53752,0.49628,2.96305,0.80937,0.000324022,0.000324022,0.000324022
3,75.6772,0.63591,0.9196,0.89594,1,0.31928,0.81235,0.69567,0.45068,2.70165,0.8161,0.000486003,0.000486003,0.000486003
4,100.095,0.61524,0.75533,0.89609,1,0.5043,0.87308,0.76568,0.5228,2.23113,0.876,0.000643134,0.000643134,0.000643134
5,123.748,0.59177,0.69018,0.90811,0.92836,0.50835,0.91414,0.82516,0.45454,2.05472,0.85582,0.000795414,0.000795414,0.000795414
6,148.17,0.5617,0.68852,0.92404,0.95222,0.59664,0.90857,0.83804,0.41656,1.74441,0.85018,0.000942844,0.000942844,0.000942844
7,172.338,0.55771,0.65897,0.90466,0.9938,0.99097,0.995,0.89159,0.50517,1.08736,0.85724,0.00108542,0.00108542,0.00108542
8,195.705,0.55602,0.64095,0.91805,0.98879,0.98944,0.99484,0.90649,0.43012,0.99623,0.84802,0.00122315,0.00122315,0.00122315
9,219.097,0.49804,0.59644,0.8852,0.98169,1,0.99484,0.93715,0.37256,0.74011,0.82835,0.00126732,0.00126732,0.00126732
10,242.588,0.51101,0.57444,0.88456,0.98872,1,0.995,0.89645,0.46122,0.67251,0.84411,0.00124711,0.00124711,0.00124711
11,266.255,0.49908,0.58393,0.89936,0.98966,0.99193,0.995,0.9061,0.39895,0.58671,0.82327,0.0012269,0.0012269,0.0012269
12,290.32,0.4874,0.55266,0.8821,0.99632,0.99855,0.995,0.9306,0.37603,0.4876,0.8209,0.00120669,0.00120669,0.00120669
13,314.525,0.44945,0.51931,0.87078,0.9931,0.99455,0.995,0.94681,0.35615,0.52098,0.81619,0.00118648,0.00118648,0.00118648
14,338.374,0.42809,0.51205,0.86041,0.98624,0.99984,0.99459,0.9296,0.35233,0.49529,0.82588,0.00116627,0.00116627,0.00116627
15,361.976,0.45875,0.49533,0.88117,0.99489,1,0.995,0.93154,0.36456,0.46799,0.82669,0.00114606,0.00114606,0.00114606
16,385.974,0.45754,0.52088,0.87349,0.99007,0.99857,0.995,0.92899,0.4021,0.45215,0.81916,0.00112585,0.00112585,0.00112585
17,409.513,0.47068,0.49416,0.89071,0.99294,1,0.995,0.91594,0.3767,0.46992,0.81991,0.00110564,0.00110564,0.00110564
18,433.238,0.45233,0.49748,0.89134,0.9948,1,0.995,0.94747,0.31537,0.40594,0.8075,0.00108543,0.00108543,0.00108543
19,457.248,0.43073,0.47323,0.87501,0.99619,0.99948,0.995,0.93145,0.35848,0.41697,0.81139,0.00106522,0.00106522,0.00106522
20,481.467,0.41432,0.47113,0.86044,0.99609,1,0.995,0.94569,0.36543,0.39992,0.81771,0.00104501,0.00104501,0.00104501
21,506.288,0.41967,0.44435,0.85989,0.99544,0.99883,0.995,0.94881,0.33444,0.40806,0.8108,0.0010248,0.0010248,0.0010248
22,530.238,0.41634,0.44295,0.85396,0.99663,1,0.995,0.94712,0.346,0.418,0.81789,0.00100459,0.00100459,0.00100459
